BIN,RANGE_FROM,RANGE_TO,BANK,CARD_TYPE
400079,400079000,400079346,BANK 1,PLATINUM
400079,400079349,400079350,BANK 1,PLATINUM
400079,400079351,400079351,BANK 1,PLATINUM
400079,400079352,400079528,BANK 1,PLATINUM
400079,400079529,400079529,BANK 1,PLATINUM
400079,400079530,400079646,BANK 1,PLATINUM
400079,400079649,400079999,BANK 1,PLATINUM
400244,400244000,400244972,BANK 2,PLATINUM
400244,400244973,400244973,BANK 2,PLATINUM
400244,400244974,400244999,BANK 2,PLATINUM
400628,400628000,400628199,BANK 3,PLATINUM
400628,400628200,400628209,BANK 3,PLATINUM
400628,400628210,400628999,BANK 3,PLATINUM
400774,400774000,400774500,BANK 4,INFINITE
400774,400774501,400774501,BANK 4,INFINITE
400774,400774502,400774999,BANK 4,INFINITE
400787,400787000,400787500,BANK 4,PLATINUM
400787,400787501,400787501,BANK 4,PLATINUM
400787,400787502,400787999,BANK 4,PLATINUM
401376,401376000,401376699,BANK 5,INFINITE
401376,401376700,401376999,BANK 5,INFINITE
401605,401605000,401605004,BANK 6,INFINITE
401605,401605005,401605009,BANK 6,INFINITE
401605,401605010,401605999,BANK 6,INFINITE
402105,402105000,402105000,BANK 7,INFINITE
402105,402105001,402105998,BANK 7,INFINITE
402105,402105999,402105999,BANK 7,INFINITE
402326,402326998,402326998,BANK 8,PLATINUM
402457,402457000,402457001,BANK 9,PLATINUM
402457,402457002,402457999,BANK 9,PLATINUM
402948,402948000,402948099,BANK 6,SIGNATURE
402948,402948100,402948199,BANK 6,SIGNATURE
402948,402948200,402948999,BANK 6,SIGNATURE
403424,403424000,403424009,BANK 10,SIGNATURE
403424,403424010,403424079,BANK 10,SIGNATURE
403424,403424080,403424999,BANK 10,SIGNATURE
403447,403447000,403447009,BANK 10,SIGNATURE
403447,403447010,403447079,BANK 10,SIGNATURE
403447,403447080,403447999,BANK 10,SIGNATURE
403681,403681000,403681899,BANK 11,PLATINUM
403681,403681900,403681999,BANK 11,PLATINUM
403780,403780000,403780000,BANK 12,PLATINUM
403780,403780002,403780009,BANK 12,PLATINUM
403780,403780010,403780999,BANK 12,PLATINUM
403809,403809000,403809099,BANK 13,PLATINUM
403809,403809100,403809980,BANK 13,PLATINUM
403809,403809981,403809981,BANK 13,PLATINUM
403809,403809982,403809999,BANK 13,PLATINUM
403841,403841555,403841555,BANK 14,PLATINUM
403841,403841815,403841815,BANK 14,INFINITE
404136,404136000,404136000,BANK 15,PLATINUM
404136,404136001,404136010,BANK 15,PLATINUM
404136,404136011,404136059,BANK 15,PLATINUM
404136,404136060,404136094,BANK 15,PLATINUM
404136,404136095,404136095,BANK 15,PLATINUM
404136,404136096,404136199,BANK 15,PLATINUM
404136,404136200,404136259,BANK 15,PLATINUM
404136,404136260,404136294,BANK 15,PLATINUM
404136,404136295,404136295,BANK 15,PLATINUM
404136,404136296,404136299,BANK 15,PLATINUM
404136,404136300,404136300,BANK 15,PLATINUM
404136,404136301,404136310,BANK 15,PLATINUM
404136,404136311,404136359,BANK 15,PLATINUM
404136,404136360,404136394,BANK 15,PLATINUM
404136,404136395,404136395,BANK 15,PLATINUM
404136,404136396,404136902,BANK 15,PLATINUM
404136,404136903,404136904,BANK 15,PLATINUM
404136,404136905,404136910,BANK 15,PLATINUM
404136,404136911,404136959,BANK 15,PLATINUM
404136,404136960,404136994,BANK 15,PLATINUM
404136,404136995,404136995,BANK 15,PLATINUM
404136,404136996,404136999,BANK 15,PLATINUM
404224,404224000,404224000,BANK 16,PLATINUM
404224,404224001,404224699,BANK 16,PLATINUM
404224,404224700,404224700,BANK 16,PLATINUM
404224,404224701,404224708,BANK 16,PLATINUM
404224,404224709,404224709,BANK 16,PLATINUM
404224,404224710,404224999,BANK 16,PLATINUM
404586,404586000,404586099,BANK 17,PLATINUM
404586,404586100,404586102,BANK 17,PLATINUM
404586,404586103,404586999,BANK 17,PLATINUM
404593,404593000,404593189,BANK 18,PLATINUM
404593,404593190,404593259,BANK 18,PLATINUM
404593,404593260,404593289,BANK 18,PLATINUM
404593,404593290,404593379,BANK 18,PLATINUM
404593,404593380,404593487,BANK 18,PLATINUM
404593,404593488,404593520,BANK 18,PLATINUM
404593,404593521,404593799,BANK 18,PLATINUM
404593,404593800,404593889,BANK 18,PLATINUM
404593,404593890,404593999,BANK 18,PLATINUM
404730,404730000,404730079,BANK 19,PLATINUM
404730,404730080,404730099,BANK 19,PLATINUM
404730,404730100,404730699,BANK 19,PLATINUM
404730,404730700,404730719,BANK 19,INFINITE
404730,404730720,404730999,BANK 19,INFINITE
404807,404807000,404807599,BANK 20,PLATINUM
404807,404807600,404807600,BANK 20,PLATINUM
404807,404807601,404807642,BANK 20,PLATINUM
404807,404807643,404807643,BANK 20,PLATINUM
404807,404807644,404807703,BANK 20,PLATINUM
404807,404807704,404807704,BANK 20,PLATINUM
404807,404807705,404807710,BANK 20,PLATINUM
404807,404807711,404807711,BANK 20,PLATINUM
404807,404807712,404807776,BANK 20,PLATINUM
404807,404807777,404807777,BANK 20,PLATINUM
404807,404807778,404807839,BANK 20,PLATINUM
404807,404807840,404807840,BANK 20,PLATINUM
404807,404807841,404807977,BANK 20,PLATINUM
404807,404807978,404807978,BANK 20,PLATINUM
404807,404807979,404807999,BANK 20,PLATINUM
404885,404885000,404885499,BANK 20,PLATINUM
404885,404885500,404885500,BANK 20,PLATINUM
404885,404885501,404885501,BANK 20,PLATINUM
404885,404885502,404885504,BANK 20,PLATINUM
404885,404885505,404885511,BANK 20,PLATINUM
404885,404885515,404885603,BANK 20,PLATINUM
404885,404885604,404885604,BANK 20,PLATINUM
404885,404885605,404885610,BANK 20,PLATINUM
404885,404885611,404885611,BANK 20,PLATINUM
404885,404885612,404885642,BANK 20,PLATINUM
404885,404885643,404885643,BANK 20,PLATINUM
404885,404885644,404885697,BANK 20,PLATINUM
404885,404885698,404885698,BANK 20,PLATINUM
404885,404885699,404885839,BANK 20,PLATINUM
404885,404885840,404885840,BANK 20,PLATINUM
404885,404885841,404885977,BANK 20,PLATINUM
404885,404885978,404885978,BANK 20,PLATINUM
404885,404885979,404885999,BANK 20,PLATINUM
405436,405436000,405436000,BANK 21,SIGNATURE
405436,405436001,405436005,BANK 21,SIGNATURE
405436,405436006,405436999,BANK 21,SIGNATURE
405676,405676000,405676000,BANK 22,PLATINUM
405676,405676001,405676099,BANK 22,PLATINUM
405676,405676100,405676100,BANK 22,PLATINUM
405676,405676101,405676999,BANK 22,PLATINUM
405899,405899000,405899099,BANK 23,PLATINUM
405899,405899100,405899499,BANK 23,PLATINUM
405899,405899500,405899999,BANK 23,PLATINUM
405991,405991000,405991009,BANK 24,PLATINUM
405991,405991010,405991999,BANK 24,PLATINUM
406128,406128000,406128001,BANK 25,PLATINUM
406128,406128001,406128001,BANK 25,PLATINUM
406128,406128001,406128999,BANK 25,PLATINUM
406140,406140000,406140009,BANK 26,PLATINUM
406140,406140010,406140010,BANK 26,PLATINUM
406140,406140010,406140011,BANK 26,PLATINUM
406140,406140012,406140019,BANK 26,PLATINUM
406140,406140020,406140020,BANK 26,PLATINUM
406140,406140021,406140999,BANK 26,PLATINUM
406334,406334000,406334389,BANK 27,INFINITE
406334,406334390,406334410,BANK 27,INFINITE
406334,406334411,406334999,BANK 27,INFINITE
406372,406372000,406372055,BANK 28,PLATINUM
406372,406372056,406372099,BANK 28,PLATINUM
406372,406372100,406372955,BANK 28,PLATINUM
406372,406372956,406372999,BANK 28,PLATINUM
406767,406767000,406767019,BANK 29,INFINITE
406767,406767020,406767089,BANK 29,INFINITE
406767,406767090,406767999,BANK 29,INFINITE
407347,407347000,407347682,BANK 1,INFINITE
407347,407347683,407347683,BANK 1,INFINITE
407347,407347684,407347999,BANK 1,INFINITE
407433,407433000,407433999,BANK 30,PLATINUM
407528,407528000,407528099,BANK 31,PLATINUM
407528,407528100,407528299,BANK 31,PLATINUM
407528,407528300,407528999,BANK 31,PLATINUM
408025,408025000,408025000,BANK 32,PLATINUM
408025,408025001,408025239,BANK 32,PLATINUM
408025,408025240,408025240,BANK 32,PLATINUM
408025,408025241,408025999,BANK 32,PLATINUM
408220,408220000,408220399,BANK 33,PLATINUM
408220,408220400,408220400,BANK 33,PLATINUM
408220,408220400,408220999,BANK 33,PLATINUM
408396,408396000,408396200,BANK 34,PLATINUM
408396,408396250,408396269,BANK 34,PLATINUM
408396,408396300,408396999,BANK 34,PLATINUM
408397,408397000,408397200,BANK 34,PLATINUM
408397,408397250,408397269,BANK 34,PLATINUM
408397,408397300,408397999,BANK 34,PLATINUM
409398,409398000,409398001,BANK 22,SIGNATURE
409398,409398002,409398999,BANK 22,SIGNATURE
409956,409956000,409956699,BANK 35,PLATINUM
409956,409956700,409956701,BANK 35,PLATINUM
409956,409956702,409956999,BANK 35,PLATINUM
410934,410934500,410934999,BANK 36,PLATINUM
411790,411790000,411790023,BANK 37,INFINITE
411790,411790024,411790024,BANK 37,INFINITE
411790,411790025,411790999,BANK 37,INFINITE
411900,411900000,411900000,BANK 38,INFINITE
411900,411900000,411900999,BANK 38,INFINITE
412584,412584000,412584112,BANK 39,PLATINUM
412584,412584113,412584113,BANK 39,PLATINUM
412584,412584113,412584122,BANK 39,PLATINUM
412584,412584123,412584124,BANK 39,PLATINUM
412584,412584124,412584999,BANK 39,PLATINUM
413064,413064000,413064149,BANK 22,PLATINUM
413064,413064151,413064159,BANK 22,PLATINUM
413064,413064160,413064999,BANK 22,PLATINUM
413250,413250000,413250010,BANK 27,PLATINUM
413250,413250011,413250020,BANK 27,PLATINUM
413250,413250021,413250089,BANK 27,PLATINUM
413250,413250090,413250102,BANK 27,PLATINUM
413250,413250103,413250141,BANK 27,PLATINUM
413250,413250142,413250142,BANK 27,PLATINUM
413250,413250143,413250150,BANK 27,PLATINUM
413250,413250153,413250999,BANK 27,PLATINUM
413307,413307000,413307299,BANK 17,SIGNATURE
413307,413307300,413307319,BANK 17,SIGNATURE
413307,413307320,413307999,BANK 17,SIGNATURE
414010,414010000,414010000,BANK 40,PLATINUM
414010,414010000,414010999,BANK 40,PLATINUM
414097,414097000,414097000,BANK 40,PLATINUM
414097,414097000,414097100,BANK 40,PLATINUM
414097,414097100,414097100,BANK 40,PLATINUM
414097,414097100,414097999,BANK 40,PLATINUM
415470,415470000,415470011,BANK 41,PLATINUM
415470,415470012,415470012,BANK 41,PLATINUM
415470,415470013,415470251,BANK 41,PLATINUM
415470,415470252,415470252,BANK 41,PLATINUM
415470,415470253,415470311,BANK 41,PLATINUM
415470,415470312,415470312,BANK 41,PLATINUM
415470,415470313,415470789,BANK 41,PLATINUM
415470,415470790,415470790,BANK 41,PLATINUM
415470,415470791,415470796,BANK 41,PLATINUM
415470,415470797,415470797,BANK 41,PLATINUM
415470,415470798,415470999,BANK 41,PLATINUM
415481,415481270,415481270,BANK 34,PLATINUM
415482,415482202,415482202,BANK 34,PLATINUM
415482,415482204,415482204,BANK 34,PLATINUM
415822,415822000,415822000,BANK 35,PLATINUM
415822,415822001,415822001,BANK 35,PLATINUM
415822,415822002,415822002,BANK 35,PLATINUM
415822,415822003,415822003,BANK 35,PLATINUM
415822,415822004,415822009,BANK 35,PLATINUM
415822,415822010,415822010,BANK 35,PLATINUM
415822,415822011,415822019,BANK 35,PLATINUM
415822,415822020,415822020,BANK 35,PLATINUM
415822,415822021,415822999,BANK 35,PLATINUM
418386,418386000,418386099,BANK 36,PLATINUM
418386,418386100,418386198,BANK 36,PLATINUM
418386,418386199,418386278,BANK 36,PLATINUM
418386,418386279,418386999,BANK 36,PLATINUM
419151,419151000,419151000,BANK 37,PLATINUM
419151,419151001,419151009,BANK 37,PLATINUM
419151,419151010,419151010,BANK 37,PLATINUM
419151,419151011,419151997,BANK 37,PLATINUM
419151,419151999,419151999,BANK 37,PLATINUM
419293,419293000,419293999,BANK 38,PLATINUM
419349,419349000,419349999,BANK 38,PLATINUM
419351,419351000,419351999,BANK 38,PLATINUM
419532,419532000,419532000,BANK 21,PLATINUM
419532,419532001,419532999,BANK 21,PLATINUM
419534,419534000,419534000,BANK 21,INFINITE
419534,419534001,419534999,BANK 21,INFINITE
419539,419539000,419539249,BANK 34,INFINITE
419539,419539250,419539250,BANK 34,INFINITE
419539,419539251,419539254,BANK 34,INFINITE
419539,419539255,419539255,BANK 34,INFINITE
419539,419539256,419539999,BANK 34,INFINITE
419540,419540000,419540199,BANK 34,INFINITE
419540,419540200,419540200,BANK 34,INFINITE
419540,419540201,419540204,BANK 34,INFINITE
419540,419540205,419540206,BANK 34,INFINITE
419540,419540207,419540276,BANK 34,INFINITE
419540,419540277,419540277,BANK 34,INFINITE
419540,419540278,419540278,BANK 34,INFINITE
419540,419540279,419540281,BANK 34,INFINITE
419540,419540282,419540999,BANK 34,INFINITE
419608,419608000,419608019,BANK 39,PLATINUM
419608,419608020,419608020,BANK 39,PLATINUM
419608,419608020,419608028,BANK 39,PLATINUM
419608,419608029,419608029,BANK 39,PLATINUM
419608,419608030,419608999,BANK 39,PLATINUM
419688,419688000,419688009,BANK 13,PLATINUM
419688,419688010,419688329,BANK 13,PLATINUM
419688,419688330,419688339,BANK 13,PLATINUM
419688,419688340,419688549,BANK 13,PLATINUM
419688,419688550,419688559,BANK 13,PLATINUM
419688,419688560,419688879,BANK 13,PLATINUM
419688,419688880,419688889,BANK 13,PLATINUM
419688,419688890,419688999,BANK 13,PLATINUM
419804,419804000,419804003,BANK 13,PLATINUM
419804,419804004,419804004,BANK 13,PLATINUM
419804,419804005,419804005,BANK 13,PLATINUM
419804,419804006,419804006,BANK 13,PLATINUM
419804,419804007,419804008,BANK 13,PLATINUM
419804,419804009,419804009,BANK 13,PLATINUM
419804,419804010,419804010,BANK 13,PLATINUM
419804,419804011,419804014,BANK 13,PLATINUM
419804,419804015,419804016,BANK 13,PLATINUM
419804,419804017,419804017,BANK 13,PLATINUM
419804,419804018,419804019,BANK 13,PLATINUM
419804,419804020,419804021,BANK 13,PLATINUM
419804,419804022,419804029,BANK 13,PLATINUM
419804,419804030,419804030,BANK 13,PLATINUM
419804,419804031,419804035,BANK 13,PLATINUM
419804,419804036,419804036,BANK 13,PLATINUM
419804,419804037,419804037,BANK 13,PLATINUM
419804,419804038,419804038,BANK 13,PLATINUM
419804,419804039,419804039,BANK 13,PLATINUM
419804,419804040,419804040,BANK 13,PLATINUM
419804,419804041,419804041,BANK 13,PLATINUM
419804,419804042,419804043,BANK 13,PLATINUM
419804,419804044,419804045,BANK 13,PLATINUM
419804,419804046,419804046,BANK 13,PLATINUM
419804,419804047,419804049,BANK 13,PLATINUM
419804,419804050,419804050,BANK 13,PLATINUM
419804,419804051,419804054,BANK 13,PLATINUM
419804,419804055,419804055,BANK 13,PLATINUM
419804,419804056,419804056,BANK 13,PLATINUM
419804,419804057,419804062,BANK 13,PLATINUM
419804,419804063,419804065,BANK 13,PLATINUM
419804,419804066,419804069,BANK 13,PLATINUM
419804,419804070,419804070,BANK 13,PLATINUM
419804,419804071,419804072,BANK 13,PLATINUM
419804,419804073,419804075,BANK 13,PLATINUM
419804,419804076,419804083,BANK 13,PLATINUM
419804,419804084,419804084,BANK 13,PLATINUM
419804,419804085,419804092,BANK 13,PLATINUM
419804,419804093,419804093,BANK 13,PLATINUM
419804,419804094,419804094,BANK 13,PLATINUM
419804,419804095,419804095,BANK 13,PLATINUM
419804,419804096,419804100,BANK 13,PLATINUM
419804,419804101,419804111,BANK 13,PLATINUM
419804,419804112,419804499,BANK 13,PLATINUM
419805,419805000,419805369,BANK 13,INFINITE
419805,419805370,419805370,BANK 13,INFINITE
419805,419805371,419805479,BANK 13,INFINITE
419805,419805480,419805499,BANK 13,INFINITE
419805,419805500,419805999,BANK 13,INFINITE
420244,420244000,420244009,BANK 10,INFINITE
420244,420244010,420244079,BANK 10,INFINITE
420244,420244080,420244999,BANK 10,INFINITE
420574,420574000,420574009,BANK 17,PLATINUM
420574,420574010,420574109,BANK 17,PLATINUM
420574,420574110,420574219,BANK 17,PLATINUM
420574,420574220,420574299,BANK 17,PLATINUM
420574,420574300,420574509,BANK 17,PLATINUM
420574,420574510,420574599,BANK 17,PLATINUM
420574,420574600,420574639,BANK 17,PLATINUM
420574,420574640,420574777,BANK 17,PLATINUM
420574,420574777,420574777,BANK 17,PLATINUM
420574,420574777,420574999,BANK 17,PLATINUM
421647,421647000,421647001,BANK 40,PLATINUM
421647,421647002,421647999,BANK 40,PLATINUM
422098,422098000,422098109,BANK 43,PLATINUM
422098,422098110,422098139,BANK 43,PLATINUM
422098,422098140,422098329,BANK 43,PLATINUM
422098,422098330,422098340,BANK 43,PLATINUM
422098,422098341,422098529,BANK 43,PLATINUM
422098,422098530,422098540,BANK 43,PLATINUM
422098,422098541,422098999,BANK 43,PLATINUM
422138,422138000,422138049,BANK 10,PLATINUM
422138,422138070,422138219,BANK 10,PLATINUM
422138,422138240,422138399,BANK 10,PLATINUM
422138,422138420,422138449,BANK 10,PLATINUM
422138,422138470,422138499,BANK 10,PLATINUM
422138,422138520,422138599,BANK 10,PLATINUM
422138,422138620,422138649,BANK 10,PLATINUM
422138,422138670,422138999,BANK 10,PLATINUM
422253,422253000,422253000,BANK 41,PLATINUM
422253,422253001,422253999,BANK 41,PLATINUM
422830,422830000,422830269,BANK 42,INFINITE
422830,422830269,422830269,BANK 42,INFINITE
422830,422830269,422830999,BANK 42,INFINITE
422831,422831000,422831275,BANK 42,PLATINUM
422831,422831275,422831275,BANK 42,PLATINUM
422831,422831275,422831999,BANK 42,PLATINUM
423218,423218000,423218000,BANK 44,INFINITE
423218,423218001,423218099,BANK 44,INFINITE
423218,423218100,423218990,BANK 44,INFINITE
423218,423218990,423218990,BANK 44,INFINITE
423218,423218991,423218999,BANK 44,INFINITE
423373,423373015,423373015,BANK 41,PLATINUM
423373,423373016,423373017,BANK 41,PLATINUM
423373,423373018,423373018,BANK 41,PLATINUM
423373,423373019,423373019,BANK 41,PLATINUM
423373,423373025,423373027,BANK 41,PLATINUM
423373,423373028,423373028,BANK 41,PLATINUM
423373,423373029,423373029,BANK 41,PLATINUM
423373,423373035,423373039,BANK 41,PLATINUM
423373,423373045,423373047,BANK 41,PLATINUM
423373,423373048,423373048,BANK 41,PLATINUM
423373,423373049,423373049,BANK 41,PLATINUM
423373,423373055,423373057,BANK 41,PLATINUM
423373,423373058,423373058,BANK 41,PLATINUM
423373,423373059,423373059,BANK 41,PLATINUM
423373,423373065,423373069,BANK 41,PLATINUM
423373,423373075,423373079,BANK 41,PLATINUM
423373,423373085,423373087,BANK 41,PLATINUM
423373,423373088,423373088,BANK 41,PLATINUM
423373,423373089,423373089,BANK 41,PLATINUM
423373,423373095,423373096,BANK 41,PLATINUM
423373,423373097,423373097,BANK 41,PLATINUM
423373,423373098,423373099,BANK 41,PLATINUM
423373,423373105,423373107,BANK 41,PLATINUM
423373,423373108,423373108,BANK 41,PLATINUM
423373,423373109,423373109,BANK 41,PLATINUM
423373,423373115,423373117,BANK 41,PLATINUM
423373,423373118,423373118,BANK 41,PLATINUM
423373,423373119,423373119,BANK 41,PLATINUM
423373,423373125,423373125,BANK 41,PLATINUM
423373,423373126,423373127,BANK 41,PLATINUM
423373,423373128,423373128,BANK 41,PLATINUM
423373,423373129,423373129,BANK 41,PLATINUM
423373,423373145,423373147,BANK 41,PLATINUM
423373,423373148,423373148,BANK 41,PLATINUM
423373,423373149,423373149,BANK 41,PLATINUM
423373,423373155,423373159,BANK 41,PLATINUM
423373,423373165,423373169,BANK 41,PLATINUM
423373,423373175,423373179,BANK 41,PLATINUM
423373,423373185,423373187,BANK 41,PLATINUM
423373,423373188,423373188,BANK 41,PLATINUM
423373,423373189,423373189,BANK 41,PLATINUM
423373,423373195,423373199,BANK 41,PLATINUM
423373,423373205,423373207,BANK 41,PLATINUM
423373,423373208,423373208,BANK 41,PLATINUM
423373,423373209,423373209,BANK 41,PLATINUM
423373,423373215,423373219,BANK 41,PLATINUM
423373,423373225,423373225,BANK 41,PLATINUM
423373,423373226,423373229,BANK 41,PLATINUM
423373,423373255,423373257,BANK 41,PLATINUM
423373,423373258,423373258,BANK 41,PLATINUM
423373,423373259,423373259,BANK 41,PLATINUM
423373,423373285,423373289,BANK 41,PLATINUM
423373,423373295,423373297,BANK 41,PLATINUM
423373,423373298,423373298,BANK 41,PLATINUM
423373,423373299,423373299,BANK 41,PLATINUM
423373,423373305,423373309,BANK 41,PLATINUM
423373,423373315,423373315,BANK 41,PLATINUM
423373,423373316,423373317,BANK 41,PLATINUM
423373,423373318,423373318,BANK 41,PLATINUM
423373,423373319,423373319,BANK 41,PLATINUM
423373,423373325,423373327,BANK 41,PLATINUM
423373,423373328,423373328,BANK 41,PLATINUM
423373,423373329,423373329,BANK 41,PLATINUM
423373,423373335,423373335,BANK 41,PLATINUM
423373,423373336,423373336,BANK 41,PLATINUM
423373,423373337,423373337,BANK 41,PLATINUM
423373,423373338,423373339,BANK 41,PLATINUM
423373,423373345,423373349,BANK 41,PLATINUM
423373,423373355,423373359,BANK 41,PLATINUM
423373,423373365,423373369,BANK 41,PLATINUM
424113,424113000,424113526,BANK 45,INFINITE
424113,424113526,424113526,BANK 45,INFINITE
424113,424113526,424113999,BANK 45,INFINITE
425183,425183000,425183009,BANK 17,PLATINUM
425183,425183010,425183109,BANK 17,PLATINUM
425183,425183110,425183219,BANK 17,PLATINUM
425183,425183220,425183299,BANK 17,PLATINUM
425183,425183300,425183509,BANK 17,PLATINUM
425183,425183510,425183599,BANK 17,PLATINUM
425183,425183600,425183639,BANK 17,PLATINUM
425183,425183640,425183777,BANK 17,PLATINUM
425183,425183777,425183777,BANK 17,PLATINUM
425183,425183777,425183999,BANK 17,PLATINUM
425530,425530000,425530509,BANK 46,PLATINUM
425530,425530510,425530519,BANK 46,PLATINUM
425530,425530520,425530529,BANK 46,PLATINUM
425530,425530530,425530539,BANK 46,PLATINUM
425530,425530540,425530549,BANK 46,PLATINUM
425530,425530550,425530559,BANK 46,PLATINUM
425530,425530560,425530569,BANK 46,PLATINUM
425530,425530570,425530579,BANK 46,PLATINUM
425530,425530580,425530589,BANK 46,PLATINUM
425530,425530590,425530599,BANK 46,PLATINUM
425530,425530600,425530793,BANK 46,PLATINUM
425530,425530793,425530793,BANK 46,PLATINUM
425530,425530793,425530999,BANK 46,PLATINUM
425620,425620000,425620001,BANK 20,SIGNATURE
425620,425620002,425620002,BANK 20,SIGNATURE
425620,425620003,425620006,BANK 20,SIGNATURE
425620,425620007,425620007,BANK 20,SIGNATURE
425620,425620008,425620046,BANK 20,SIGNATURE
425620,425620047,425620047,BANK 20,SIGNATURE
425620,425620048,425620090,BANK 20,SIGNATURE
425620,425620091,425620091,BANK 20,SIGNATURE
425620,425620092,425620599,BANK 20,SIGNATURE
425620,425620600,425620600,BANK 20,SIGNATURE
425620,425620601,425620619,BANK 20,SIGNATURE
425620,425620620,425620620,BANK 20,SIGNATURE
425620,425620621,425620839,BANK 20,SIGNATURE
425620,425620840,425620840,BANK 20,SIGNATURE
425620,425620841,425620977,BANK 20,SIGNATURE
425620,425620978,425620978,BANK 20,SIGNATURE
425620,425620979,425620999,BANK 20,SIGNATURE
425656,425656000,425656399,BANK 17,PLATINUM
425656,425656400,425656899,BANK 17,PLATINUM
425656,425656900,425656999,BANK 17,PLATINUM
425813,425813000,425813777,BANK 47,INFINITE
425813,425813777,425813777,BANK 47,INFINITE
425813,425813777,425813999,BANK 47,INFINITE
425814,425814000,425814777,BANK 47,PLATINUM
425814,425814777,425814777,BANK 47,PLATINUM
425814,425814777,425814999,BANK 47,PLATINUM
425884,425884000,425884642,BANK 20,INFINITE
425884,425884643,425884643,BANK 20,INFINITE
425884,425884644,425884839,BANK 20,INFINITE
425884,425884840,425884840,BANK 20,INFINITE
425884,425884841,425884977,BANK 20,INFINITE
425884,425884978,425884978,BANK 20,INFINITE
425884,425884979,425884999,BANK 20,INFINITE
425885,425885000,425885642,BANK 20,INFINITE
425885,425885643,425885643,BANK 20,INFINITE
425885,425885644,425885839,BANK 20,INFINITE
425885,425885840,425885840,BANK 20,INFINITE
425885,425885841,425885977,BANK 20,INFINITE
425885,425885978,425885978,BANK 20,INFINITE
425885,425885979,425885999,BANK 20,INFINITE
426101,426101000,426101254,BANK 34,SIGNATURE
426101,426101255,426101279,BANK 34,SIGNATURE
426101,426101280,426101999,BANK 34,SIGNATURE
426102,426102000,426102254,BANK 34,SIGNATURE
426102,426102255,426102269,BANK 34,SIGNATURE
426102,426102270,426102999,BANK 34,SIGNATURE
426113,426113000,426113254,BANK 34,SIGNATURE
426113,426113255,426113256,BANK 34,SIGNATURE
426113,426113257,426113999,BANK 34,SIGNATURE
426114,426114000,426114254,BANK 34,SIGNATURE
426114,426114255,426114255,BANK 34,SIGNATURE
426114,426114256,426114999,BANK 34,SIGNATURE
426804,426804000,426804004,BANK 48,INFINITE
426804,426804005,426804007,BANK 48,INFINITE
426804,426804008,426804595,BANK 48,INFINITE
426804,426804596,426804596,BANK 48,INFINITE
426804,426804597,426804999,BANK 48,INFINITE
426813,426813000,426813799,BANK 49,PLATINUM
426813,426813800,426813899,BANK 49,PLATINUM
426813,426813900,426813999,BANK 49,PLATINUM
426890,426890000,426890299,BANK 15,INFINITE
426890,426890300,426890300,BANK 15,INFINITE
426890,426890301,426890310,BANK 15,INFINITE
426890,426890311,426890359,BANK 15,INFINITE
426890,426890360,426890394,BANK 15,INFINITE
426890,426890395,426890395,BANK 15,INFINITE
426890,426890396,426890399,BANK 15,INFINITE
426890,426890400,426890400,BANK 15,INFINITE
426890,426890401,426890416,BANK 15,INFINITE
426890,426890417,426890417,BANK 15,INFINITE
426890,426890418,426890424,BANK 15,INFINITE
426890,426890425,426890425,BANK 15,INFINITE
426890,426890426,426890458,BANK 15,INFINITE
426890,426890459,426890459,BANK 15,INFINITE
426890,426890460,426890494,BANK 15,INFINITE
426890,426890495,426890495,BANK 15,INFINITE
426890,426890496,426890599,BANK 15,INFINITE
426890,426890600,426890999,BANK 15,INFINITE
427230,427230100,427230100,BANK 22,PLATINUM
427244,427244000,427244585,BANK 51,PLATINUM
427244,427244586,427244586,BANK 51,PLATINUM
427244,427244587,427244642,BANK 51,PLATINUM
427244,427244643,427244643,BANK 51,PLATINUM
427244,427244644,427244737,BANK 51,PLATINUM
427244,427244738,427244738,BANK 51,PLATINUM
427244,427244739,427244999,BANK 51,PLATINUM
427275,427275000,427275002,BANK 22,INFINITE
427275,427275003,427275999,BANK 22,INFINITE
427417,427417000,427417000,BANK 52,INFINITE
427417,427417001,427417003,BANK 52,INFINITE
427417,427417004,427417549,BANK 52,INFINITE
427417,427417550,427417552,BANK 52,INFINITE
427417,427417553,427417999,BANK 52,INFINITE
427427,427427000,427427000,BANK 52,PLATINUM
427427,427427001,427427003,BANK 52,PLATINUM
427427,427427004,427427019,BANK 52,PLATINUM
427427,427427020,427427021,BANK 52,PLATINUM
427427,427427022,427427129,BANK 52,PLATINUM
427427,427427130,427427130,BANK 52,PLATINUM
427427,427427131,427427159,BANK 52,PLATINUM
427427,427427160,427427162,BANK 52,PLATINUM
427427,427427163,427427179,BANK 52,PLATINUM
427427,427427180,427427181,BANK 52,PLATINUM
427427,427427182,427427309,BANK 52,PLATINUM
427427,427427310,427427310,BANK 52,PLATINUM
427427,427427311,427427359,BANK 52,PLATINUM
427427,427427360,427427361,BANK 52,PLATINUM
427427,427427362,427427399,BANK 52,PLATINUM
427427,427427400,427427400,BANK 52,PLATINUM
427427,427427401,427427419,BANK 52,PLATINUM
427427,427427420,427427422,BANK 52,PLATINUM
427427,427427423,427427439,BANK 52,PLATINUM
427427,427427440,427427440,BANK 52,PLATINUM
427427,427427441,427427489,BANK 52,PLATINUM
427427,427427490,427427491,BANK 52,PLATINUM
